智悲,,,,,,,,,,
 届别,课程,类别,统计方式,传承,法本,共修,次数,时长,总时长,共修时间
前行,二规教言01,主修,共修,1,1,1,0,0,0,6/1/2016
前行,二规教言02,主修,共修,1,1,1,0,0,0,6/6/2016
前行,二规教言03,主修,共修,1,1,1,0,0,0,6/11/2016
前行,二规教言04,主修,共修,1,1,1,0,0,0,6/16/2016
前行,二规教言05,主修,共修,1,1,1,0,0,0,6/21/2016
前行,二规教言06,主修,共修,1,1,1,0,0,0,6/26/2016
前行,二规教言07,主修,共修,1,1,1,0,0,0,7/1/2016
前行,二规教言08,主修,共修,1,1,1,0,0,0,7/6/2016
前行,二规教言09,主修,共修,1,1,1,0,0,0,7/11/2016
前行,二规教言10,主修,共修,1,1,1,0,0,0,7/16/2016
前行,二规教言11,主修,共修,1,1,1,0,0,0,7/21/2016
前行,二规教言12,主修,共修,1,1,1,0,0,0,7/26/2016
前行,怎样面对痛苦,主修,共修,1,1,1,0,0,0,7/31/2016
前行,金钱，到底有多值钱,主修,共修,1,1,1,0,0,0,8/5/2016
前行,问佛陀情为何物,主修,共修,1,1,1,0,0,0,8/10/2016
前行,幸福的根本是心,主修,共修,1,1,1,0,0,0,8/15/2016
前行,科技发达时代的佛法教育,主修,共修,1,1,1,0,0,0,8/20/2016
前行,佛法的生命科学观,主修,共修,1,1,1,0,0,0,8/25/2016
前行,来世生命及往生净土,主修,共修,1,1,1,0,0,0,8/30/2016
前行,信心是最好的财富,主修,共修,1,1,1,0,0,0,9/4/2016
前行,初学者不应视师如佛,主修,共修,1,1,1,0,0,0,9/9/2016
前行,有十种事情不能做,主修,共修,1,1,1,0,0,0,9/14/2016
前行,略说忏罪,主修,共修,1,1,1,0,0,0,9/19/2016
前行,让你重新认识佛教,主修,共修,1,1,1,0,0,0,9/24/2016
前行,怎么样学佛,主修,共修,1,1,1,0,0,0,9/29/2016
前行,佛教的未来需要你我,主修,共修,1,1,1,0,0,0,10/4/2016
前行,如何寻找大乘的方向,主修,共修,1,1,1,0,0,0,10/9/2016
前行,三殊胜,主修,共修,1,1,1,0,0,0,10/14/2016
前行,再谈放生,主修,共修,1,1,1,0,0,0,10/19/2016
前行,为临终者献爱心,主修,共修,1,1,1,0,0,0,10/24/2016
前行,以佛法利益亡者,主修,共修,1,1,1,0,0,0,10/29/2016
前行,观音心咒之功德,主修,共修,1,1,1,0,0,0,11/3/2016
前行,什么是密宗,主修,共修,1,1,1,0,0,0,11/8/2016
前行,胜利道歌讲记第1课,主修,共修,1,1,1,0,0,0,11/13/2016
前行,胜利道歌讲记第2课,主修,共修,1,1,1,0,0,0,11/18/2016
前行,前行之重要性,主修,共修,1,1,1,0,0,0,12/1/2016
前行,《上师瑜伽速赐加持》讲记,主修,共修,1,1,1,0,0,0,12/8/2016
前行,前行广释001,主修,共修,1,1,1,0,0,0,12/15/2016
前行,前行广释002,主修,共修,1,1,1,0,0,0,12/22/2016
前行,前行广释003,主修,共修,1,1,1,0,0,0,12/29/2016
前行,前行广释004,主修,共修,1,1,1,0,0,0,1/5/2017
前行,前行广释005,主修,共修,1,1,1,0,0,0,1/12/2017
前行,前行广释006,主修,共修,1,1,1,0,0,0,1/19/2017
前行,前行广释007,主修,共修,1,1,1,0,0,0,1/26/2017
前行,前行广释008,主修,共修,1,1,1,0,0,0,2/2/2017
前行,前行广释009,主修,共修,1,1,1,0,0,0,2/9/2017
前行,前行广释010,主修,共修,1,1,1,0,0,0,2/16/2017
前行,前行广释011,主修,共修,1,1,1,0,0,0,2/23/2017
前行,前行广释012,主修,共修,1,1,1,0,0,0,3/2/2017
前行,前行广释013,主修,共修,1,1,1,0,0,0,3/9/2017
前行,前行广释014,主修,共修,1,1,1,0,0,0,3/16/2017
前行,前行广释015,主修,共修,1,1,1,0,0,0,3/23/2017
前行,前行广释016,主修,共修,1,1,1,0,0,0,3/30/2017
前行,前行广释017,主修,共修,1,1,1,0,0,0,4/6/2017
前行,前行广释018,主修,共修,1,1,1,0,0,0,4/13/2017
前行,前行广释019,主修,共修,1,1,1,0,0,0,4/20/2017
前行,前行广释020,主修,共修,1,1,1,0,0,0,4/27/2017
前行,前行广释021,主修,共修,1,1,1,0,0,0,5/4/2017
前行,前行广释022,主修,共修,1,1,1,0,0,0,6/1/2017
前行,前行广释023,主修,共修,1,1,1,0,0,0,6/8/2017
前行,前行广释024,主修,共修,1,1,1,0,0,0,6/15/2017
前行,前行广释025,主修,共修,1,1,1,0,0,0,6/22/2017
前行,前行广释026,主修,共修,1,1,1,0,0,0,6/29/2017
前行,前行广释027,主修,共修,1,1,1,0,0,0,7/6/2017
前行,前行广释028,主修,共修,1,1,1,0,0,0,7/13/2017
前行,前行广释029,主修,共修,1,1,1,0,0,0,7/20/2017
前行,前行广释030,主修,共修,1,1,1,0,0,0,7/27/2017
前行,前行广释031,主修,共修,1,1,1,0,0,0,8/3/2017
前行,前行广释032,主修,共修,1,1,1,0,0,0,8/10/2017
前行,前行广释033,主修,共修,1,1,1,0,0,0,8/17/2017
前行,前行广释034,主修,共修,1,1,1,0,0,0,8/24/2017
前行,前行广释035,主修,共修,1,1,1,0,0,0,8/31/2017
前行,前行广释036,主修,共修,1,1,1,0,0,0,9/7/2017
前行,前行广释037,主修,共修,1,1,1,0,0,0,9/14/2017
前行,前行广释038,主修,共修,1,1,1,0,0,0,9/21/2017
前行,前行广释039,主修,共修,1,1,1,0,0,0,9/28/2017
前行,前行广释040,主修,共修,1,1,1,0,0,0,10/5/2017
前行,前行广释041,主修,共修,1,1,1,0,0,0,10/12/2017
前行,前行广释042,主修,共修,1,1,1,0,0,0,10/19/2017
前行,前行广释043,主修,共修,1,1,1,0,0,0,10/26/2017
前行,前行广释044,主修,共修,1,1,1,0,0,0,11/2/2017
前行,前行广释045,主修,共修,1,1,1,0,0,0,12/1/2017
前行,前行广释046,主修,共修,1,1,1,0,0,0,12/8/2017
前行,前行广释047,主修,共修,1,1,1,0,0,0,12/15/2017
前行,前行广释048,主修,共修,1,1,1,0,0,0,12/22/2017
前行,前行广释049,主修,共修,1,1,1,0,0,0,12/29/2017
前行,前行广释050,主修,共修,1,1,1,0,0,0,1/5/2018
前行,前行广释051,主修,共修,1,1,1,0,0,0,1/12/2018
前行,前行广释052,主修,共修,1,1,1,0,0,0,1/19/2018
前行,前行广释053,主修,共修,1,1,1,0,0,0,1/26/2018
前行,前行广释054,主修,共修,1,1,1,0,0,0,2/2/2018
前行,前行广释055,主修,共修,1,1,1,0,0,0,2/9/2018
前行,前行广释056,主修,共修,1,1,1,0,0,0,2/16/2018
前行,前行广释057,主修,共修,1,1,1,0,0,0,2/23/2018
前行,前行广释058,主修,共修,1,1,1,0,0,0,3/2/2018
前行,前行广释059,主修,共修,1,1,1,0,0,0,3/9/2018
前行,前行广释060,主修,共修,1,1,1,0,0,0,3/16/2018
前行,前行广释061,主修,共修,1,1,1,0,0,0,3/23/2018
前行,前行广释062,主修,共修,1,1,1,0,0,0,3/30/2018
前行,前行广释063,主修,共修,1,1,1,0,0,0,4/6/2018
前行,前行广释064,主修,共修,1,1,1,0,0,0,4/13/2018
前行,前行广释065,主修,共修,1,1,1,0,0,0,4/20/2018
前行,前行广释066,主修,共修,1,1,1,0,0,0,4/27/2018
前行,前行广释067,主修,共修,1,1,1,0,0,0,5/7/2018
前行,前行广释068,主修,共修,1,1,1,0,0,0,6/3/2018
前行,前行广释069,主修,共修,1,1,1,0,0,0,6/10/2018
前行,前行广释070,主修,共修,1,1,1,0,0,0,6/17/2018
前行,前行广释071,主修,共修,1,1,1,0,0,0,6/24/2018
前行,前行广释072,主修,共修,1,1,1,0,0,0,7/1/2018
前行,前行广释073,主修,共修,1,1,1,0,0,0,7/8/2018
前行,前行广释074,主修,共修,1,1,1,0,0,0,7/15/2018
前行,前行广释075,主修,共修,1,1,1,0,0,0,7/22/2018
前行,前行广释076,主修,共修,1,1,1,0,0,0,7/29/2018
前行,前行广释077,主修,共修,1,1,1,0,0,0,8/5/2018
前行,前行广释078,主修,共修,1,1,1,0,0,0,8/12/2018
前行,前行广释079,主修,共修,1,1,1,0,0,0,8/19/2018
前行,前行广释080,主修,共修,1,1,1,0,0,0,8/26/2018
前行,前行广释081,主修,共修,1,1,1,0,0,0,9/2/2018
前行,前行广释082,主修,共修,1,1,1,0,0,0,9/9/2018
前行,前行广释083,主修,共修,1,1,1,0,0,0,9/16/2018
前行,前行广释084,主修,共修,1,1,1,0,0,0,9/23/2018
前行,前行广释085,主修,共修,1,1,1,0,0,0,9/30/2018
前行,前行广释086,主修,共修,1,1,1,0,0,0,10/7/2018
前行,前行广释087,主修,共修,1,1,1,0,0,0,10/14/2018
前行,前行广释088,主修,共修,1,1,1,0,0,0,10/21/2018
前行,前行广释089,主修,共修,1,1,1,0,0,0,10/28/2018
前行,前行广释090,主修,共修,1,1,1,0,0,0,11/7/2018
前行,前行广释091,主修,共修,1,1,1,0,0,0,12/1/2018
前行,前行广释092,主修,共修,1,1,1,0,0,0,12/8/2018
前行,前行广释093,主修,共修,1,1,1,0,0,0,12/15/2018
前行,前行广释094,主修,共修,1,1,1,0,0,0,12/22/2018
前行,前行广释095,主修,共修,1,1,1,0,0,0,12/29/2018
前行,前行广释096,主修,共修,1,1,1,0,0,0,1/5/2019
前行,前行广释097,主修,共修,1,1,1,0,0,0,1/12/2019
前行,前行广释098,主修,共修,1,1,1,0,0,0,1/19/2019
前行,前行广释099,主修,共修,1,1,1,0,0,0,1/26/2019
前行,前行广释100,主修,共修,1,1,1,0,0,0,2/2/2019
前行,前行广释101,主修,共修,1,1,1,0,0,0,2/9/2019
前行,前行广释102,主修,共修,1,1,1,0,0,0,2/16/2019
前行,前行广释103,主修,共修,1,1,1,0,0,0,2/23/2019
前行,前行广释104,主修,共修,1,1,1,0,0,0,3/2/2019
前行,前行广释105,主修,共修,1,1,1,0,0,0,3/9/2019
前行,前行广释106,主修,共修,1,1,1,0,0,0,3/16/2019
前行,前行广释107,主修,共修,1,1,1,0,0,0,3/23/2019
前行,前行广释108,主修,共修,1,1,1,0,0,0,3/30/2019
前行,前行广释109,主修,共修,1,1,1,0,0,0,4/6/2019
前行,前行广释110,主修,共修,1,1,1,0,0,0,4/13/2019
前行,前行广释111,主修,共修,1,1,1,0,0,0,4/20/2019
前行,前行广释112,主修,共修,1,1,1,0,0,0,4/27/2019
前行,前行广释113,主修,共修,1,1,1,0,0,0,5/30/2019
前行,前行广释114,主修,共修,1,1,1,0,0,0,6/2/2019
前行,前行广释115,主修,共修,1,1,1,0,0,0,6/9/2019
前行,前行广释116,主修,共修,1,1,1,0,0,0,6/16/2019
前行,前行广释117,主修,共修,1,1,1,0,0,0,6/23/2019
前行,前行广释118,主修,共修,1,1,1,0,0,0,6/30/2019
前行,前行广释119,主修,共修,1,1,1,0,0,0,7/7/2019
前行,前行广释120,主修,共修,1,1,1,0,0,0,7/14/2019
前行,前行广释121,主修,共修,1,1,1,0,0,0,7/21/2019
前行,前行广释122,主修,共修,1,1,1,0,0,0,7/28/2019
前行,前行广释123,主修,共修,1,1,1,0,0,0,8/4/2019
前行,前行广释124,主修,共修,1,1,1,0,0,0,8/11/2019
前行,前行广释125,主修,共修,1,1,1,0,0,0,8/18/2019
前行,前行广释126,主修,共修,1,1,1,0,0,0,8/25/2019
前行,前行广释127,主修,共修,1,1,1,0,0,0,9/1/2019
前行,前行广释128,主修,共修,1,1,1,0,0,0,9/8/2019
前行,前行广释129,主修,共修,1,1,1,0,0,0,9/15/2019
前行,前行广释130,主修,共修,1,1,1,0,0,0,9/22/2019
前行,前行广释131,主修,共修,1,1,1,0,0,0,9/29/2019
前行,前行广释132,主修,共修,1,1,1,0,0,0,10/6/2019
前行,前行广释133,主修,共修,1,1,1,0,0,0,10/13/2019
前行,前行广释134,主修,共修,1,1,1,0,0,0,10/20/2019
前行,前行广释135,主修,共修,1,1,1,0,0,0,10/27/2019
前行,前行广释136,主修,共修,1,1,1,0,0,0,11/3/2019
前行,前行广释137,主修,共修,1,1,1,0,0,0,12/2/2019
前行,前行广释138,主修,共修,1,1,1,0,0,0,12/6/2019
前行,前行广释139,主修,共修,1,1,1,0,0,0,12/10/2019
前行,前行广释140,主修,共修,1,1,1,0,0,0,12/14/2019
前行,前行广释141,主修,共修,1,1,1,0,0,0,12/18/2019
前行,前行广释142,主修,共修,1,1,1,0,0,0,12/22/2019
前行,前行广释143,主修,共修,1,1,1,0,0,0,12/26/2019
前行,前行广释144,主修,共修,1,1,1,0,0,0,12/30/2019
前行,上师瑜伽,主修,共修,1,1,1,0,0,0,1/3/2020
前行,金刚七句1,主修,共修,1,1,1,0,0,0,1/7/2020
前行,金刚七句2,主修,共修,1,1,1,0,0,0,1/11/2020
前行,金刚七句3,主修,共修,1,1,1,0,0,0,1/15/2020
前行,金刚七句4,主修,共修,1,1,1,0,0,0,1/19/2020
前行,金刚七句5,主修,共修,1,1,1,0,0,0,1/23/2020
前行,金刚七句6,主修,共修,1,1,1,0,0,0,1/27/2020
前行,金刚七句7,主修,共修,1,1,1,0,0,0,1/31/2020
前行,金刚七句8,主修,共修,1,1,1,0,0,0,2/4/2020
前行,修心利刃轮01,主修,共修,1,1,1,0,0,0,2/8/2020
前行,修心利刃轮02,主修,共修,1,1,1,0,0,0,2/12/2020
前行,修心利刃轮03,主修,共修,1,1,1,0,0,0,2/16/2020
前行,修心利刃轮04,主修,共修,1,1,1,0,0,0,2/20/2020
前行,修心利刃轮05,主修,共修,1,1,1,0,0,0,2/24/2020
前行,修心利刃轮06,主修,共修,1,1,1,0,0,0,2/28/2020
前行,修心利刃轮07,主修,共修,1,1,1,0,0,0,3/3/2020
前行,修心利刃轮08,主修,共修,1,1,1,0,0,0,3/7/2020
前行,修心利刃轮09,主修,共修,1,1,1,0,0,0,3/11/2020
前行,修心利刃轮10,主修,共修,1,1,1,0,0,0,3/15/2020
前行,修心利刃轮11,主修,共修,1,1,1,0,0,0,3/19/2020
前行,修心利刃轮12,主修,共修,1,1,1,0,0,0,3/23/2020
前行,修心利刃轮13,主修,共修,1,1,1,0,0,0,3/27/2020
前行,修心利刃轮14,主修,共修,1,1,1,0,0,0,3/31/2020
前行,修心利刃轮15,主修,共修,1,1,1,0,0,0,4/4/2020
前行,修心利刃轮16,主修,共修,1,1,1,0,0,0,4/8/2020
前行,修心利刃轮17,主修,共修,1,1,1,0,0,0,4/12/2020
前行,修心利刃轮18,主修,共修,1,1,1,0,0,0,4/16/2020
前行,修心利刃轮19,主修,共修,1,1,1,0,0,0,4/20/2020
前行,修心利刃轮20,主修,共修,1,1,1,0,0,0,5/30/2020
前行,弟子规另解01,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解02,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解03,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解04,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解05,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解06,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解07,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解08,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解09,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解10,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解11,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解12,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解13,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解14,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解15,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解16,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解17,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解18,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解19,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,弟子规另解20,限制性课程,传承法本,1,1,0,0,0,0,11/30/2016
前行,《心灵的诺亚方舟》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2017
前行,《佛教眼中的神秘》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2017
前行,《心病还须心药医》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2017
前行,《红尘中的净土》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2017
前行,《必须面对的真相》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2017
前行,《寻觅爱的足迹》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2017
前行,《冲破迷暗的曙光》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2018
前行,《打开心扉的密钥》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2018
前行,《一切从心开始》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2018
前行,《无私带来的喜乐》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2018
前行,《发掘永远的财富》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2018
前行,《探寻藏地瑰宝》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2018
前行,《拯救“压力山大”》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2019
前行,《只为一颗“心”》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2019
前行,《唤醒深藏的善》,限制性课程,传承法本,1,1,0,0,0,0,5/30/2019
前行,《点亮一盏心灯》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2019
前行,《寻觅失落的文明》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2019
前行,《智慧比金子还贵》,限制性课程,传承法本,1,1,0,0,0,0,11/30/2019
前行,第1修法 思维闲暇之本体,观修,次数时长,0,0,0,4,30,120,6/1/2016
前行,第2修法 思维差别之圆满,观修,次数时长,0,0,0,4,30,120,6/2/2016
前行,第3修法 思维恶趣之险地,观修,次数时长,0,0,0,4,30,120,6/3/2016
前行,第4修法 思维难得之比喻,观修,次数时长,0,0,0,4,30,120,6/4/2016
前行,第5修法 思维次第之数目,观修,次数时长,0,0,0,4,30,120,6/5/2016
前行,第6修法 思维无义而空耗,观修,次数时长,0,0,0,4,30,120,6/6/2016
前行,第7修法 思维因缘之缘起,观修,次数时长,0,0,0,4,30,120,12/1/2016
前行,第8修法 思维生死之流转,观修,次数时长,0,0,0,4,30,120,12/8/2016
前行,第9修法 思维暇满之赞颂,观修,次数时长,0,0,0,4,30,120,12/15/2016
前行,第10修法 思维当生欢喜心,观修,次数时长,0,0,0,4,30,120,12/22/2016
前行,第11修法 观蕴身而修无常,观修,次数时长,0,0,0,4,30,120,12/29/2016
前行,第12修法 观世间尊主而修无常,观修,次数时长,0,0,0,4,30,120,1/5/2017
前行,第13修法 观器情成坏而修无常,观修,次数时长,0,0,0,4,30,120,1/12/2017
前行,第14修法 面诸佛圣士而修无常,观修,次数时长,0,0,0,4,30,120,1/19/2017
前行,第15修法 观死亡不定而修无常,观修,次数时长,0,0,0,4,30,120,1/26/2017
前行,第16修法 观有为法自性而修无常,观修,次数时长,0,0,0,4,30,120,2/2/2017
前行,第17修法 观骤然死缘而修无常,观修,次数时长,0,0,0,4,30,120,2/9/2017
前行,第18修法 观独自离世而修无常,观修,次数时长,0,0,0,4,30,120,2/16/2017
前行,第19修法 观时代士夫而修无常,观修,次数时长,0,0,0,4,30,120,2/23/2017
前行,第20修法 观无可依赖而修无常,观修,次数时长,0,0,0,4,30,120,3/2/2017
前行,第21修法 观外缘不定而修无常,观修,次数时长,0,0,0,4,30,120,3/9/2017
前行,第22修法 观励力希求而修无常,观修,次数时长,0,0,0,4,30,120,3/16/2017
前行,第23修法 总说生起厌离心,观修,次数时长,0,0,0,4,30,120,3/23/2017
前行,第24修法 八热地狱之苦,观修,次数时长,0,0,0,4,30,120,3/30/2017
前行,第25修法 近边地狱之苦,观修,次数时长,0,0,0,4,30,120,4/6/2017
前行,第26修法 八寒地狱之苦,观修,次数时长,0,0,0,4,30,120,4/13/2017
前行,第27修法 孤独地狱之苦,观修,次数时长,0,0,0,4,30,120,4/20/2017
前行,第28修法 饿鬼之苦,观修,次数时长,0,0,0,4,30,120,6/1/2017
前行,第29修法 旁生之苦,观修,次数时长,0,0,0,4,30,120,6/8/2017
前行,第30修法 根本苦,观修,次数时长,0,0,0,4,30,120,6/15/2017
前行,第31修法 生  苦,观修,次数时长,0,0,0,4,30,120,6/22/2017
前行,第32修法 老  苦,观修,次数时长,0,0,0,4,30,120,6/29/2017
前行,第33修法 病  苦,观修,次数时长,0,0,0,4,30,120,7/6/2017
前行,第34修法 死  苦,观修,次数时长,0,0,0,4,30,120,7/13/2017
前行,第35修法 其余分支苦,观修,次数时长,0,0,0,4,30,120,7/20/2017
前行,第36修法 非天之苦,观修,次数时长,0,0,0,4,30,120,7/27/2017
前行,第37修法 天人之苦,观修,次数时长,0,0,0,4,30,120,8/3/2017
前行,第38修法 推理今生来世,观修,次数时长,0,0,0,4,30,120,8/10/2017
前行,第39修法 身不善业,观修,次数时长,0,0,0,4,30,120,8/17/2017
前行,第40修法 语不善业,观修,次数时长,0,0,0,4,30,120,8/24/2017
前行,第41修法 意不善业,观修,次数时长,0,0,0,4,30,120,8/31/2017
前行,第42修法 身善业,观修,次数时长,0,0,0,4,30,120,9/7/2017
前行,第43修法 语善业,观修,次数时长,0,0,0,4,30,120,12/1/2017
前行,第44修法 意善业,观修,次数时长,0,0,0,4,30,120,12/8/2017
前行,第45修法 随解脱分善,观修,次数时长,0,0,0,4,30,120,12/15/2017
前行,第46修法 思维一切皆为业之自性,观修,次数时长,0,0,0,4,30,120,12/22/2017
前行,第47修法 思维差别,观修,次数时长,0,0,0,4,30,120,12/29/2017
前行,第48修法 共同法相,观修,次数时长,0,0,0,4,30,120,1/5/2018
前行,第49修法 不共法相,观修,次数时长,0,0,0,4,30,120,1/12/2018
前行,第50修法 第一次第赞颂,观修,次数时长,0,0,0,4,30,120,1/19/2018
前行,第51修法 第二次第赞颂,观修,次数时长,0,0,0,4,30,120,1/26/2018
前行,第52修法 第三次第赞颂,观修,次数时长,0,0,0,4,30,120,2/2/2018
前行,第53修法 平时之瑜伽,观修,次数时长,0,0,0,4,30,120,2/9/2018
前行,第54修法 修四事业之次第,观修,次数时长,0,0,0,4,30,120,2/16/2018
前行,第55修法 遣除病魔之赎死法,观修,次数时长,0,0,0,4,30,120,2/23/2018
前行,第56修法 皈依分类,观修,次数时长,0,0,0,4,30,120,3/2/2018
前行,第57修法 思维功德,观修,次数时长,0,0,0,4,30,120,3/9/2018
前行,第58修法 皈依方法,观修,次数时长,0,0,0,4,30,120,3/16/2018
前行,第59修法 思维功德生起欢喜,观修,次数时长,0,0,0,4,30,120,6/1/2018
前行,第60修法 修舍无量心,观修,次数时长,0,0,0,4,30,120,6/8/2018
前行,第61修法 修慈无量心,观修,次数时长,0,0,0,4,30,120,6/15/2018
前行,第62修法 修悲无量心,观修,次数时长,0,0,0,4,30,120,6/22/2018
前行,第63修法 修喜无量心,观修,次数时长,0,0,0,4,30,120,6/29/2018
前行,第64修法 修炼,观修,次数时长,0,0,0,4,30,120,7/6/2018
前行,第65修法 思维利益,观修,次数时长,0,0,0,4,30,120,7/13/2018
前行,第66修法 顶礼支,观修,次数时长,0,0,0,4,30,120,7/20/2018
前行,第67修法 供养支,观修,次数时长,0,0,0,4,30,120,7/27/2018
前行,第68修法 忏悔支,观修,次数时长,0,0,0,4,30,120,8/3/2018
前行,第69修法 随喜支,观修,次数时长,0,0,0,4,30,120,8/10/2018
前行,第70修法 请转法轮支,观修,次数时长,0,0,0,4,30,120,8/17/2018
前行,第71修法 请不涅支,观修,次数时长,0,0,0,4,30,120,8/24/2018
前行,第72修法 回向支,观修,次数时长,0,0,0,4,30,120,8/31/2018
前行,第73修法 正行,观修,次数时长,0,0,0,4,30,120,9/7/2018
前行,第74修法 修自他平等菩提心,观修,次数时长,0,0,0,4,30,120,12/1/2018
前行,第75修法 修自他相换菩提心,观修,次数时长,0,0,0,4,30,120,12/8/2018
前行,第76修法 修自轻他重菩提心,观修,次数时长,0,0,0,4,30,120,12/15/2018
前行,第77修法 布施度,观修,次数时长,0,0,0,4,30,120,12/22/2018
前行,第78修法 本体,观修,次数时长,0,0,0,4,30,120,12/29/2018
前行,第79修法 清净行境,观修,次数时长,0,0,0,4,30,120,1/5/2019
前行,第80修法 观修大士八大发心,观修,次数时长,0,0,0,4,30,120,1/12/2019
前行,第81修法 有缘之安忍,观修,次数时长,0,0,0,4,30,120,1/19/2019
前行,第82修法 无缘之安忍,观修,次数时长,0,0,0,4,30,120,1/26/2019
前行,第83修法 精进度,观修,次数时长,0,0,0,4,30,120,2/2/2019
前行,第84修法 思维变化无常之自性,观修,次数时长,0,0,0,4,30,120,2/9/2019
前行,第85修法 思维贪欲之过患,观修,次数时长,0,0,0,4,30,120,2/16/2019
前行,第86修法 思维与凡夫交往之过患,观修,次数时长,0,0,0,4,30,120,2/23/2019
前行,第87修法 思维愦闹之过患,观修,次数时长,0,0,0,4,30,120,3/2/2019
前行,第88修法 思维静处功德,观修,次数时长,0,0,0,4,30,120,3/9/2019
前行,第89修法 真实修持静虑,观修,次数时长,0,0,0,4,30,120,3/16/2019
前行,第90修法 显现观为幻化八喻,观修,次数时长,0,0,0,4,30,120,3/23/2019
前行,第91修法 观察法性空性,观修,次数时长,0,0,0,4,30,120,3/30/2019
前行,第92修法 安住于离边中观之义中,观修,次数时长,0,0,0,4,30,120,4/6/2019
